"Participant","Recruitment","Experiment_StartDate","Experiment_Duration","Browser_Version","Mobile","Platform","Screen_Width","Screen_Height","Prolific_ID","Gender","Age","Education","Discipline","Student","Ethnicity","pcs_handslow","pcs_magnetichands","pcs_mosquito","pcs_tastesweet","pcs_tastesour","pcs_armrigidity","pcs_armimmobile","pcs_music","pcs_negativehallucination","pcs_urgepress","pcs_memorypress","pcs_amnesia","pcs_yellowball","pcs_redball","pcs_greenball","pcs_blueball","pcs_purpleball","pcs_orangeball","pcs_noballs","pcs_amnesia_w","pcs_remember_w","pcs_hello","pcs_press","pid_Dis1","pid_Dis2","pid_Dis3","pid_Dis5","pid_Dis6","pid_Det4","pid_Det13","pid_Det14","pid_Det16","pid_Det18","pid_Psy7","pid_Psy12","pid_Psy21","pid_Psy23","pid_Psy24","pid_NegAff8","pid_NegAff9","pid_NegAff10","pid_NegAff11","pid_NegAff15","pid_Ant17","pid_Ant19","pid_Ant20","pid_Ant22","pid_Ant25","ipip_Cons3","ipip_Cons10","ipip_Cons11_R","ipip_Cons22_R","ipip_Ext1","ipip_Ext7_R","ipip_Ext19_R","ipip_Ext23","ipip_Agr2","ipip_Agr8_R","ipip_Agr14","ipip_Agr20_R","ipip_HonHum6_R","ipip_HonHum12_R","ipip_HonHum18_R","ipip_HonHum24_R","ipip_Neuro4","ipip_Neuro15_R","ipip_Neuro16","ipip_Neuro17_R","ipip_Open5","ipip_Open9_R","ipip_Open13_R","ipip_Open21_R"
"S187",NA,2026-04-05 09:17:30,40.34285,"chrome 146.0.0","false","Windows 10",2560,1352,"69ce7d2297b4750b47987000","Male",40,"High school",NA,FALSE,"White",3,4,0,0,0,2,2,0,0,5,0,1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Raised my arm straight out to imagine holding something heavyraised both arms out to imagine them pulling togetherraised right arm to make it stiffImagine only seeing 2 balls on the screen","press space 6 times when I see please wait on screen","Hello",6,0.5,1,0.5,0.5,0,1,1,2,2,2,0,0,0,0,0.5,1,0.5,0,0,0.5,0.5,0,0.5,0,0.5,5,7,1,1,1,7,7,1,5,4,3,5,1,4,1,2,3,6,2,5,5,2,3,2
"S188",NA,2026-04-05 09:24:12,50.99235,"chrome 147.0.0","false","Windows 10",1536,776,"67c7613bd569d49d18156d6c","Female",21,"High school",NA,TRUE,"White",3,3,2,1,3,4,4,1,0,4,0,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,"I was asked to see two balls where there were three, to imagine my arm becoming stiff, to imagine a mosquito in my room","Hello",6,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0.5,2,0,2,2,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,5,7,2,3,1,5,5,2,6,2,6,2,3,6,1,2,4,3,4,2,7,1,1,1
"S189",NA,2026-04-05 09:33:41,42.6143833333333,"edge-chromium 146.0.0","false","Windows 10",1528,732,"663cca6f32da191e05406d21","Female",49,"High school",NA,FALSE,"White",4,1,5,2,0,4,4,0,0,5,5,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,"I don't remember anything except being told to press the space bar 6 times and then being told I would forget all about it, but I didn't forget at all.","Hello",0,0,0.5,0.5,2,0.5,2,0,0.5,0.5,0.5,0,0,0,0,0,2,2,0.5,1,2,0,0,0,0,0,3,5,7,3,1,7,7,1,6,1,6,1,5,7,4,7,7,1,7,1,7,7,1,7
"S190",NA,2026-04-05 10:05:32,44.3878166666667,"firefox 149.0.0","false","Windows 10",1473,725,"570d22b35e5156000efd8bd5","Male",43,"High school",NA,FALSE,"White",5,5,4,3,3,4,5,0,0,4,0,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Remember colors of balls, Hear Happy birthday, How heavy My Arm felt","Press space bad, how heavy things feel","Hello",6,0,0,0,0,0,0,1,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,5,5,1,1,5,3,3,5,5,2,6,3,6,6,6,6,1,7,1,7,7,1,1,1
"S191",NA,2026-04-05 10:27:37,43.2559166666667,"chrome 146.0.0","false","Windows 10",1920,991,"69139019e887fef6bf369ea3","Male",37,"Bachelor","Political Science, Law",FALSE,"White",2,3,4,1,2,3,3,0,0,5,1,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"I raised one hand, had a heavy bowling ball, had my hands pulled together. Then I also had my left hand get heavy. I was supposed to hear some birthday music, and then imagine 2 balls when I saw three.","The hands, the ball, the magnets, the birthday song, the three balls. I think I remember most of it.","Hello",6,0.5,0.5,0,0.5,0,2,1,0.5,1,1,0.5,0,0.5,0.5,0.5,2,1,0.5,0.5,1,0,1,0.5,0,1,3,6,4,1,3,1,3,3,5,6,4,5,3,4,4,2,4,4,3,1,5,3,2,5
"S192",NA,2026-04-05 10:41:37,261.9939,"chrome 146.0.0","false","Windows 10",1920,945,"5a8f13595292b80001235e09","Male",39,"Bachelor","Engineering, Computer Science",FALSE,"Mixed",3,1,0,0,0,0,1,2,0,3,3,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"We went through different imagination exercises such as holding an arm out and imagining it getting heavy, and imagining a mosquito landing on my hand.","press the space bar 6 times","Hello",6,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,1,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0,6,6,1,4,7,1,5,6,6,1,4,1,4,5,4,4,1,6,1,7,7,1,1,1
"S193",NA,2026-04-05 10:51:21,48.77,"chrome 134.0.0","false","Windows 10",1920,945,"6988878f7b811934dbd31f51","Male",39,"Bachelor","Engineering, Computer Science",TRUE,"Black",4,5,4,5,4,4,4,3,0,4,0,2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,"pressing space bar 6 times,left hand stiffness","Hello",6,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,3,4,1,1,1,1,2,5,7,1,4,1,1,1,2,1,1,5,2,2,4,1,1,1
"S194",NA,2026-04-05 11:44:37,48.6638666666667,"chrome 143.0.0","false","Windows 10",1280,593,"682c3f62f2680e9a67130379","Male",33,"Bachelor","Engineering, Computer Science",FALSE,"White",5,4,5,4,3,4,5,0,0,4,4,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,"I also lifted my left arm and felt it was heavy after sometime.","Hello",5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,4,3,6,4,4,7,1,7,1,7,5,6,2,1,6,1,7,7,1,7,1
"S195",NA,2026-04-05 11:45:17,52.3884833333333,"chrome 146.0.0","false","Windows 10",2250,1331,"6636db94fa3ed150c2d78447","Male",27,"Bachelor","Engineering, Computer Science",FALSE,"White",1,0,1,0,0,0,1,1,0,1,1,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"a voice pretty much guided me through voice instructions to like make my hand feel heavy or like feel a bug or even make me thinkl there is less balls on the screen for one of them. none really worked though,","no i already remembered","Hello",2,0.5,1,1,1,0.5,1,0.5,0.5,1,2,1,1,0,0.5,1,0.5,1,0.5,1,0.5,0.5,1,0.5,0.5,0.5,2,5,3,3,4,3,4,4,6,2,4,3,5,3,5,4,3,2,3,2,3,5,4,3
"S196",NA,2026-04-05 11:45:28,40.3805,"chrome 146.0.0","false","Windows 10",1920,919,"5c04872c55614800012b7cf0","Female",27,"Master","Library science",FALSE,"White",2,1,0,3,3,2,2,0,0,5,0,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"looked at colored balls, imagined my left hand being heavy, imagined my right hand being pressed down, imagined my two hands being drawn together, imagined a mosquito","Hearing Happy Birthday song, feeling my arm locked straight","Hello",6,0,0.5,0,0,0.5,1,0.5,0.5,1,2,0,0,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0,5,6,1,2,1,6,6,1,2,6,2,6,1,5,1,1,2,3,1,1,7,1,2,1
